Yearmon,CPI
1916-07-03,256.56
1916-07-04,256.76
1916-07-05,257.35
1916-07-06,257.21
1916-07-07,256.97
1916-07-08,257.97
1916-07-09,258.68
1916-07-10,258.12
1916-07-11,256.39
1916-07-12,256.39
1916-07-13,257.80
1916-07-14,259.10
1916-07-15,259.92
1916-07-16,260.28
1916-07-17,260.39
1916-07-18,260.23
1916-07-19,260.47
1916-07-20,261.58
1916-07-21,263.01
1916-07-22,264.88
1916-07-23,267.05
1916-07-24,269.20
1916-07-25,271.70
1916-07-26,273.00
